state_name,median_household_income,poverty_rate,employment_rate
Alabama,66659,15.2,51.7
Alaska,95665,10.2,57.3
Arizona,81486,11.7,54
Arkansas,62106,15.5,52.7
California,100149,11.8,55.4
Colorado,97113,9.6,60.9
Connecticut,96049,10.2,59.2
Delaware,87534,9.6,57.3
District of Columbia,109707,17.3,65.7
Florida,77735,12,53.8
Georgia,79991,12.6,57.7
Hawaii,100745,10,57.2
Idaho,81166,10.5,56.2
Illinois,83211,11.6,58.6
Indiana,71959,12.2,57.6
Iowa,75501,11.3,61.1
Kansas,75514,10.9,59.4
Kentucky,64526,15.6,53.5
Louisiana,60986,18.7,53.7
Maine,76442,10.6,57.6
Maryland,102905,9.1,61.4
Massachusetts,104828,9.7,61.5
Michigan,72389,13.4,55.2
Minnesota,87117,9.3,62.8
Mississippi,59127,17.8,53.2
Missouri,71589,12.3,57.8
Montana,75340,10.2,58.3
Nebraska,76376,10.9,61.3
Nevada,81134,11.6,57.3
New Hampshire,99782,7.2,61.2
New Jersey,104294,9.2,59.3
New Mexico,67816,16.4,51.5
New York,85820,14,56.5
North Carolina,73958,12.5,56.4
North Dakota,77871,11.1,63.3
Ohio,72212,12.7,57.4
Oklahoma,66148,14.9,54.3
Oregon,85220,11.8,56.8
Pennsylvania,77545,11.6,57
Rhode Island,83504,12.2,57.6
South Carolina,72350,13.3,54.1
South Dakota,76881,10.4,62.2
Tennessee,71997,13.5,56
Texas,79721,13.4,56.9
Utah,96658,8.3,60.5
Vermont,82730,9,60.5
Virginia,92090,9.7,58.1
Washington,99389,9.9,57.3
West Virginia,60798,16.7,49
Wisconsin,77488,10.3,60.4
Wyoming,75532,10.1,58.7
