year,month,energy_date,state_code,state_name,com_revenue_thousand_dollars,com_sales_mwh,com_customers,com_price_cents_per_kwh,median_household_income,poverty_rate,employment_rate,total_population,total_housing_units,price_poverty_interaction,sales_mwh_per_customer,sales_lag_1_month,sales_lag_12_month
2010,1,2010-01-01,AK,Alaska,33833,257174,47683,13.16,95665,10.2,57.3,740133,329757,134.232,5.3934106494977246,,
2010,2,2010-02-01,AK,Alaska,32561,243103,47582,13.39,95665,10.2,57.3,740133,329757,136.578,5.1091379092934303,257174,
2010,3,2010-03-01,AK,Alaska,32569,243570,47810,13.37,95665,10.2,57.3,740133,329757,136.374,5.0945408910269818,243103,
2010,4,2010-04-01,AK,Alaska,32328,229129,47697,14.11,95665,10.2,57.3,740133,329757,143.922,4.8038451055621947,243570,
2010,5,2010-05-01,AK,Alaska,31938,222740,47848,14.34,95665,10.2,57.3,740133,329757,146.268,4.6551580003343922,229129,
2010,6,2010-06-01,AK,Alaska,31600,218622,47880,14.45,95665,10.2,57.3,740133,329757,147.390,4.5660401002506266,222740,
2010,7,2010-07-01,AK,Alaska,31671,223285,47878,14.18,95665,10.2,57.3,740133,329757,144.636,4.6636242115376582,218622,
2010,8,2010-08-01,AK,Alaska,32658,233408,47932,13.99,95665,10.2,57.3,740133,329757,142.698,4.8695652173913043,223285,
2010,9,2010-09-01,AK,Alaska,31566,224613,48112,14.05,95665,10.2,57.3,740133,329757,143.310,4.6685442301296974,233408,
2010,10,2010-10-01,AK,Alaska,32625,231454,47958,14.1,95665,10.2,57.3,740133,329757,143.82,4.8261812419200133,224613,
2010,11,2010-11-01,AK,Alaska,34887,243036,47872,14.35,95665,10.2,57.3,740133,329757,146.370,5.0767881016042781,231454,
2010,12,2010-12-01,AK,Alaska,36396,259603,47874,14.02,95665,10.2,57.3,740133,329757,143.004,5.4226302377073150,243036,
2011,1,2011-01-01,AK,Alaska,38794,264777,48346,14.65,95665,10.2,57.3,740133,329757,149.430,5.4767095519794812,259603,257174
2011,2,2011-02-01,AK,Alaska,36828,249756,48225,14.75,95665,10.2,57.3,740133,329757,150.450,5.1789735614307932,264777,243103
2011,3,2011-03-01,AK,Alaska,36499,245405,48463,14.87,95665,10.2,57.3,740133,329757,151.674,5.0637599818418175,249756,243570
2011,4,2011-04-01,AK,Alaska,35502,231572,48357,15.33,95665,10.2,57.3,740133,329757,156.366,4.7887999669127531,245405,229129
2011,5,2011-05-01,AK,Alaska,34505,223089,48202,15.47,95665,10.2,57.3,740133,329757,157.794,4.6282104476992656,231572,222740
2011,6,2011-06-01,AK,Alaska,34239,218097,48840,15.7,95665,10.2,57.3,740133,329757,160.14,4.4655405405405405,223089,218622
2011,7,2011-07-01,AK,Alaska,35158,222841,48597,15.78,95665,10.2,57.3,740133,329757,160.956,4.5854888161820689,218097,223285
2011,8,2011-08-01,AK,Alaska,35948,233427,48583,15.4,95665,10.2,57.3,740133,329757,157.08,4.8047053496078875,222841,233408
2011,9,2011-09-01,AK,Alaska,34932,226101,48741,15.45,95665,10.2,57.3,740133,329757,157.590,4.6388256293469564,233427,224613
2011,10,2011-10-01,AK,Alaska,34262,231021,48477,14.83,95665,10.2,57.3,740133,329757,151.266,4.7655795531901727,226101,231454
2011,11,2011-11-01,AK,Alaska,36497,250538,48732,14.57,95665,10.2,57.3,740133,329757,148.614,5.1411392924567020,231021,243036
